From,Status,Talking
Adriano Fonseca - Vendas Diretas (6039),Unanswered,00:11:19
Adriano Fonseca - Vendas Diretas (5728),Answered,00:51:07
Adriano Fonseca - Vendas Diretas (8679),Unanswered,00:08:29
Beatriz Cavalcanti - Vendas Diretas (7594),Answered,00:47:46
Beatriz Cavalcanti - Vendas Diretas (9847),Answered,00:34:09
Beatriz Cavalcanti - Vendas Diretas (2317),Unanswered,00:29:53
Beatriz Cavalcanti - Vendas Diretas (8078),Unanswered,00:02:43
Beatriz Cavalcanti - Vendas Diretas (5102),Answered,00:22:00
Beatriz Cavalcanti - Vendas Diretas (4750),Unanswered,00:06:14
Beatriz Cavalcanti - Vendas Diretas (1339),Unanswered,00:57:04
César Drummond - Vendas Diretas (1659),Answered,00:39:20
César Drummond - Vendas Diretas (9502),Unanswered,00:32:07
César Drummond - Vendas Diretas (5557),Answered,00:30:11
César Drummond - Vendas Diretas (8141),Unanswered,00:39:57
César Drummond - Vendas Diretas (9056),Answered,00:55:35
César Drummond - Vendas Diretas (6700),Answered,00:32:05
César Drummond - Vendas Diretas (6260),Unanswered,00:22:45
Débora Nunes - Vendas Diretas (3634),Answered,00:58:33
Débora Nunes - Vendas Diretas (9117),Answered,00:28:06
Débora Nunes - Vendas Diretas (7561),Unanswered,00:45:13
Débora Nunes - Vendas Diretas (8451),Answered,00:02:30
Fábio Queiroz - Vendas Diretas (6296),Answered,00:17:13
Fábio Queiroz - Vendas Diretas (7622),Unanswered,00:52:44
Fábio Queiroz - Vendas Diretas (1018),Unanswered,00:56:18
Fábio Queiroz - Vendas Diretas (9889),Answered,00:59:20
Fábio Queiroz - Vendas Diretas (1888),Answered,00:28:12
Fábio Queiroz - Vendas Diretas (6927),Unanswered,00:35:23
Fábio Queiroz - Vendas Diretas (9167),Unanswered,00:51:38
Fábio Queiroz - Vendas Diretas (1845),Answered,00:30:10
Helena Borba - Vendas Diretas (3146),Answered,00:37:29
Helena Borba - Vendas Diretas (8941),Answered,00:29:54
Helena Borba - Vendas Diretas (4920),Unanswered,00:01:58
Helena Borba - Vendas Diretas (6091),Unanswered,00:10:48
Helena Borba - Vendas Diretas (7684),Answered,00:00:56
Helena Borba - Vendas Diretas (2858),Answered,00:15:20
Helena Borba - Vendas Diretas (3522),Answered,00:08:01
Iago Monteiro - Vendas Diretas (9337),Unanswered,00:19:55
Iago Monteiro - Vendas Diretas (7807),Answered,00:18:39
Iago Monteiro - Vendas Diretas (4993),Answered,00:32:14
Iago Monteiro - Vendas Diretas (3369),Answered,00:37:37
Iago Monteiro - Vendas Diretas (9327),Unanswered,00:13:00
Iago Monteiro - Vendas Diretas (2143),Answered,00:09:19
Iago Monteiro - Vendas Diretas (7798),Answered,00:52:44
Iago Monteiro - Vendas Diretas (9318),Answered,00:53:46
Iago Monteiro - Vendas Diretas (1042),Answered,00:56:00
Iago Monteiro - Vendas Diretas (5891),Unanswered,00:49:33
Iago Monteiro - Vendas Diretas (9022),Answered,00:39:35
Iago Monteiro - Vendas Diretas (9824),Answered,00:30:29
